Vendor,Brand,DS#,UPC,Product Name,Vendor Item#,Wholesale Cost,Drop Ship Cost,MSRP,Case Qty,# Images,Has Compliance Docs,Supplier ID,Source File,File Path
BLADEZ TOYS,BLADEZ,5531395,5061051300001,Hot Wheels Monster Trucks Sticker Activity Set,HW30000,0.85,,2.99,24,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531395.json
BLADEZ TOYS,BLADEZ,5531396,5061051301350,Hot Wheels Monster Trucks Sticker Activity Set (6 Pack),HW30000-6,5,,16.99,192,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531396.json
BLADEZ TOYS,BLADEZ,5531397,5061051301367,Hot Wheels Monster Trucks Sticker Activity Set (12 Pack),HW30000-12,10,,32.99,216,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531397.json
BLADEZ TOYS,BLADEZ,5531398,5060158859689,Bladez RPM R/C Stunt Racer (Green/Grey),BT85968,5.6,,19.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531398.json
BLADEZ TOYS,BLADEZ,5531399,5060158859924,Bladez RPM R/C Stunt Racer (Purple/Blue),BT85992,5.6,,19.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531399.json
BLADEZ TOYS,BLADEZ,5531400,5061051301039,Bladez RPM R/C 1:10 Mega Monster Truck,BT30103,18.5,,59.99,4,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531400.json
BLADEZ TOYS,BLADEZ,5531401,5060158859412,Bladez RPM R/C 1:18 Monster Truck,BT85941,6.5,,22.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531401.json
BLADEZ TOYS,BLADEZ,5531402,5061051300452,Bladez RPM R/C 1:20 Armoured Racer,BT30045,6.3,,22.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531402.json
BLADEZ TOYS,BLADEZ,5531403,5061051300926,Bladez RPM R/C 1:10 Ultimate Racer,BT30092,17.5,,54.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531403.json
BLADEZ TOYS,BLADEZ,5531404,5061051300285,Bladez Electronic Whack-A-Mole Style (Yellow/Purple),BT30028,6.9,,19.99,12,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531404.json
